year,plumiperla,ostrocerca,zapada,podmosta,capnia,isoperla,doddsia,perlomyia,despaxia,shipsa,Cinygmula,ameletus,baetis,epeorus,leptophlebiidae,ephemerella,dicranota,ceratopogonidae,oreogeton,dixidae,Chironomidae,Simuliidae,Oligochaetae,Planaria
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,2,0,0,12,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,61,4,3,0
1996,18,0,0,44,0,0,0,0,32,1,1,1,31,4,0,0,0,0,0,0,331,20,1,0
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,0,0,1,20,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,71,0,6,0
2000,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2001,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,1,1,0
2002,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,160,4,179,0
2003,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,2,1,1
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,2,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,69,5,1,1
2006,0,11,0,0,0,0,0,0,0,0,0,0,1,8,1,1,0,2,0,0,88,0,1,1
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
2008,8,77,0,0,78,0,0,0,0,0,1,11,12,11,0,0,1,1,0,0,513,50,0,0
2009,13,126,2,0,24,1,0,0,0,0,0,8,62,2,0,0,0,1,0,0,697,45,2,2
2010,22,89,1,0,8,3,0,0,0,0,0,5,45,6,0,0,0,2,0,0,338,55,0,0
2011,11,113,5,0,5,5,0,0,0,0,0,11,60,12,0,0,2,0,0,0,167,5,1,1
2012,8,173,4,0,199,6,0,0,0,0,0,26,21,4,0,0,1,0,0,0,482,44,2,2
2013,68,16,1,0,5,0,0,0,0,0,0,8,14,19,0,0,0,0,0,0,607,16,3,3
2014,16,8,1,0,25,2,0,0,0,0,0,4,49,2,0,0,0,5,0,0,657,39,1,1
2015,1,11,0,0,3,0,0,0,0,0,0,4,2,5,0,0,1,3,0,0,482,0,0,0
2016,26,20,1,0,23,0,13,0,0,0,0,7,80,1,0,0,0,0,1,0,587,7,3,0
