year,plumiperla,ostrocerca,zapada,podmosta,allocapnia,capnia,isoperla,doddsia,despaxia,drunella,Cinygmula,ameletus,baetis,epeorus,rhithrogena,ecclisomyia,dicranota,clinocerinae,ceratopogonidae,Chironomidae,Simuliidae,Hydrachnellae,Oligochaetae
1994,6,0,0,88,0,0,17,0,0,0,103,80,383,0,0,0,0,0,0,1348,366,0,426
1995,8,0,13,9,0,0,0,0,0,0,243,58,8,111,57,0,0,0,0,114,1,0,38
1996,0,0,2,0,0,0,0,0,0,0,92,6,102,0,13,0,0,0,423,0,86,0,12
1998,22,0,25,11,0,0,0,0,0,0,79,104,276,0,0,11,0,0,0,2581,36,0,4
1999,36,0,13,41,0,0,0,0,13,0,36,5,591,0,0,4,0,0,0,3943,409,0,82
2000,0,0,1,2,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,135,49,0,0
2001,0,0,11,63,0,0,0,0,25,0,12,17,68,0,0,0,0,0,0,1230,192,0,27
2002,49,0,0,5,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,382,31,0,75
2003,0,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0,0,0,359,112,0,293
2004,14,0,4,7,0,0,0,0,0,0,36,0,60,0,0,0,0,0,0,613,132,4,109
2005,1,7,0,0,0,11,0,0,0,2,0,0,19,1,0,0,2,1,0,274,15,0,15
2006,0,1,0,0,0,2,0,0,0,0,0,0,22,0,0,0,0,0,0,71,12,0,4
2007,0,0,0,0,0,0,0,0,0,0,0,0,175,1,0,0,0,0,0,249,219,0,0
2008,0,0,0,219,45,318,0,0,0,0,0,2,12,0,0,0,0,1,0,1041,940,2,282
2009,0,1,0,289,0,746,0,0,0,0,0,0,260,0,0,0,0,1,0,745,468,13,118
2010,0,0,0,291,0,189,0,0,0,0,1,0,532,0,0,0,1,0,0,364,555,6,38
2011,0,0,0,360,0,347,0,0,0,0,22,4,238,6,0,0,7,0,0,165,245,10,10
2012,0,0,1,217,0,691,6,0,0,0,72,1,409,24,0,2,14,0,0,163,70,10,0
2013,0,0,14,156,0,274,1,0,0,0,28,3,1238,27,0,2,21,0,0,146,146,7,43
2014,0,0,88,178,0,447,6,0,0,3,3,57,390,2,0,3,1,0,0,553,66,2,40
2015,0,50,10,0,0,240,2,9,0,0,7,52,55,19,0,4,10,0,0,438,19,0,150
2016,1,67,59,0,0,70,18,2,0,4,8,125,74,94,0,10,21,0,0,470,29,0,43
