year,plumiperla,ostrocerca,zapada,podmosta,capnia,isoperla,doddsia,despaxia,drunella,serratella,Cinygmula,ameletus,baetis,epeorus,rhithrogena,leptophlebiidae,ephemerella,ecclisomyia,gresnia,apatania,brachycentrus,glossosoma,rhyacophila,philopotomidae,dicranota,rhabdomastix,clinocerinae,ceratopogonidae,oreogeton,dixidae,Chironomidae,Simuliidae,Oligochaetae,Planaria
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,5,0,11,21,0,0,0,1,0,2,13,7,8,23,90,0,0,0,0,0,0,16,0,0,0,0,0,0,0,12,475,16,13,0
1996,6,0,12,0,0,0,0,0,0,1,53,0,63,86,1,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,415,91,1,0
1998,5,0,6,23,0,0,0,0,0,20,8,0,83,13,28,0,0,36,22,0,3,10,5,0,0,0,0,0,0,0,1079,5,2,0
1999,198,0,6,197,0,8,0,0,0,8,12,3,5,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,2,7,0
2000,7,0,6,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0
2001,200,0,27,11,0,0,0,0,0,0,15,1,8,95,8,0,3,8,0,0,2,0,0,0,0,0,0,0,0,0,526,15,3,0
2002,27,0,20,1,0,0,0,0,1,0,98,0,52,108,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,90,16,0,0
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,16,1,43,0,42,4,0,0,21,0,1,0,19,45,0,4,25,2,0,5,12,9,0,0,0,0,18,0,0,0,485,10,42,1
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,65,2,0,0
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,64,3,24,0,13,7,0,0,0,0,172,1,8,105,0,2,31,7,0,6,7,0,0,0,1,0,7,2,1,0,893,6,17,0
2010,48,9,41,0,53,5,0,0,70,0,55,0,64,82,0,39,4,3,0,15,7,21,0,0,0,0,5,0,0,0,550,9,12,0
2011,13,26,82,0,221,8,0,0,55,0,117,7,14,132,0,54,36,12,0,22,61,122,0,0,0,1,5,0,0,0,461,10,60,0
2012,27,2,26,0,119,3,0,0,8,0,28,2,10,38,0,9,1,7,0,1,4,25,0,0,2,0,0,1,0,0,223,1,61,0
2013,22,6,10,0,76,3,0,0,14,0,42,0,15,65,0,7,1,1,0,2,3,9,0,0,0,0,2,1,0,0,476,6,44,0
2014,5,0,33,0,7,7,0,0,111,0,60,0,6,38,0,0,8,1,0,0,1,7,0,0,1,0,0,0,0,0,48,3,3,0
2015,10,7,7,0,27,3,0,0,23,0,18,1,9,32,0,24,1,2,0,1,2,21,0,0,3,0,0,0,0,0,87,7,39,0
2016,8,2,5,0,1,0,5,0,9,0,5,0,24,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,16,1,3,4
