year,plumiperla,suwallia,ostrocerca,zapada,podmosta,allocapnia,capnia,isoperla,doddsia,leuctra,drunella,Cinygmula,ameletus,baetis,epeorus,ecclisomyia,apatania,philopotomidae,dicranota,rhabdomastix,clinocerinae,ceratopogonidae,dixidae,Chironomidae,Simuliidae,Oligochaetae
1994,6,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,17,5,37
1995,52,0,0,1,7,0,0,3,0,0,0,0,1,16,2,0,0,0,0,0,0,0,3,236,1,0
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,8,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,3,0
1999,36,0,0,9,2,0,0,1,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,143,1,0
2000,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0
2001,30,0,0,3,7,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,52,11,0
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,21,0,8,7,1,0,2,23,0,0,0,0,0,1,0,5,2,0,0,0,0,0,0,16,5,0
2004,14,0,0,4,0,0,1,0,0,0,0,9,1,45,0,0,0,0,0,1,5,1,0,66,1,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
2006,23,0,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,14,1,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,75,2,0
2008,11,13,0,15,0,0,0,6,0,0,1,3,0,29,0,0,0,0,0,4,1,0,0,207,89,0
2009,50,0,0,6,1,1,8,4,0,1,0,31,1,44,6,6,0,0,3,7,3,0,0,566,12,0
2010,24,0,0,104,0,0,0,18,0,0,0,1,1,10,0,34,8,0,5,2,4,0,0,287,0,0
2011,24,0,0,23,0,0,0,9,0,0,0,0,0,1,4,1,10,0,0,5,3,2,0,67,0,0
2012,107,0,0,2,0,0,0,3,1,0,0,0,0,12,0,0,0,0,0,0,0,1,0,294,2,0
2013,94,0,0,6,0,0,8,0,0,0,1,1,0,8,1,1,0,0,1,2,1,1,0,515,1,0
2014,24,0,0,24,1,0,1,1,0,0,0,2,0,4,0,3,0,0,0,1,2,0,0,274,0,0
2015,3,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,2,0
2016,9,0,5,23,0,0,6,20,9,0,2,2,0,6,6,8,0,0,4,4,0,0,0,84,1,0
