year,plumiperla,suwallia,ostrocerca,zapada,podmosta,capnia,isoperla,alloperla,taeniopteryx,doddsia,perlomyia,despaxia,shipsa,Cinygmula,ameletus,baetis,epeorus,rhithrogena,apatania,dicranota,clinocerinae,ceratopogonidae,oreogeton,Chironomidae,Simuliidae,Oligochaetae
1994,17,0,0,211,120,0,353,0,0,0,0,0,0,32,88,1847,708,0,0,0,0,0,0,1099,671,4
1995,11,0,0,0,31,0,0,0,0,0,0,0,0,1,12,104,92,0,0,0,0,0,0,41,24,0
1996,72,0,0,6,61,0,0,0,0,0,0,45,11,0,0,462,7,20,0,0,0,0,0,485,453,0
1998,36,0,0,0,168,0,18,0,0,0,0,0,0,0,7,219,68,0,0,0,0,0,0,122,61,0
1999,77,0,0,43,106,0,0,0,0,0,0,99,0,0,7,125,20,0,0,0,0,0,0,722,16,0
2000,27,0,0,202,0,0,0,0,0,0,0,0,0,0,1,20,12,0,0,0,0,0,0,36,2,0
2001,5,0,0,1,36,0,2,0,0,0,0,3,0,0,3,18,38,0,0,0,0,0,0,598,38,0
2002,4,0,0,0,252,0,0,0,0,0,69,0,0,0,2,43,15,0,0,0,0,0,0,718,174,0
2003,22,0,0,11,98,0,4,0,0,0,0,0,0,0,3,5,26,0,0,0,0,0,0,84,1,8
2004,32,0,0,12,229,0,0,0,0,0,0,0,0,0,9,274,466,0,0,0,0,0,0,35,68,4
2005,13,0,10,0,0,1,6,0,0,0,0,0,0,34,5,56,1,0,0,1,0,0,0,66,3,0
2006,0,0,7,0,0,0,0,0,0,0,0,0,0,32,0,3,3,0,0,0,0,0,0,3,0,0
2007,0,14,0,0,0,0,89,8,1,0,0,0,0,0,0,5,29,0,0,0,0,0,0,107,8,0
2008,9,0,252,0,7,122,0,0,0,0,0,0,0,29,4,893,41,0,0,0,7,0,0,886,565,3
2009,25,0,49,0,0,104,5,0,0,1,0,0,0,39,13,1106,135,0,0,1,0,1,1,150,952,1
2010,13,0,169,0,0,74,2,0,0,0,0,0,0,0,11,413,89,0,0,3,0,0,1,16,60,1
2011,13,0,145,0,0,7,0,0,0,0,0,0,0,6,44,51,116,0,0,3,0,0,2,35,1,0
2012,32,0,171,1,0,66,3,0,0,0,0,0,0,9,29,76,62,0,0,2,1,0,2,140,54,0
2013,3,0,28,3,0,83,2,0,0,0,0,0,0,6,51,5,45,0,1,2,0,0,3,38,5,0
2014,4,0,57,4,0,60,0,0,0,0,0,0,0,5,53,95,21,0,0,1,6,0,6,294,0,0
2015,4,0,24,1,0,20,0,0,0,0,0,0,0,1,11,8,24,0,0,0,0,0,1,50,4,0
2016,33,0,54,0,0,22,0,0,0,5,0,0,0,0,18,12,48,0,0,0,0,0,25,426,0,0
